Source,Q (m3/s),W (m),H (m),D (m),R
Ashmore (2013) threads,0.000849,0.26,0.013,0.00167,1.65
Ashmore (2013) threads,0.000859,0.33,0.012,0.00167,1.65
Ashmore (2013) threads,0.000516,0.19,0.011,0.00167,1.65
Ashmore (2013) threads,0.000589,0.19,0.013,0.00167,1.65
Reitz et al. (2012),0.000033,0.2,0.001,0.00026,1.65
Leduc (2013),0.0006,0.132,,0.0013,1.65
Leduc (2013),0.00173,0.249,,0.0013,1.65
Metivier & Meunier (2003),0.000004,0.027,,0.0005,1.5
Metivier & Meunier (2003),0.000011,0.042,,0.0005,1.5
Sapozhnikov and Foufoula-Georgiou (1996),0.000004,0.028,,0.00012,1.65
