Citation,Site,tau_*bf,Slope,D50 (m),Width (m),Depth (m),Discharge (m3/s)
Li et. al (2015),Yashwantpur (at railway bridge A.P. state) India,2.131121951,0.0043,0.00205,121.92,1.6764,283.1684659
Li et. al (2015),"Cow Ck above Gatesville Reservoir, near Azalea, OR",0.08705088,0.000357,0.003,23.1648,1.207008,32.76259151
Li et. al (2015),Purna (in Surat District Gujrat state) India,1.080654545,0.0009,0.004,160.02,7.9248,1982.179261
Li et. al (2015),"Cranberry Branch near Westminster, Md.",0.459185818,0.0061,0.004,5.824728,0.496824,4.598655887
Li et. al (2015),Eagle Creek,0.101244755,0.0005,0.00416,33.31464,1.389888,34.54655284
Li et. al (2015),Western Run at Western Run,0.430915208,0.0024,0.00428,22.98192,1.267968,43.35309213
Li et. al (2015),Banas (at Abu Road Gujrat state) India,1.52107612,0.00217,0.00477,185.928,5.51688,2406.93196
Li et. al (2015),Khipra (at Ujjain in M.P. state) India,0.139698153,0.00023,0.005,274.32,5.010912,1727.327642
Li et. al (2015),Burke Gulch,1.847272727,0.05,0.006,2.46888,0.36576,0.396435852
Li et. al (2015),"Glebe Branch at Valley Lee, Md.",0.191924439,0.01,0.00693,2.25552,0.219456,0.337253643
Li et. al (2015),UT to Lost Creek,0.137638898,0.0018,0.00703,8.90016,0.886968,7.079211648
Li et. al (2015),"West Branch Brandywine Creek near Honey Brook, PA",0.056451445,0.001,0.00733,17.49552,0.682752,9.429509915
Li et. al (2015),N Fork Massie Cr,0.019726234,0.0003,0.0084,13.99032,0.911352,3.936041676
Li et. al (2015),"Baisman Run at Broadmoor, Md.",0.518094653,0.016,0.00947,5.76072,0.505968,3.242278935
Li et. al (2015),Neff Run,0.136675516,0.0067,0.00978,4.572,0.329184,1.019406477
Li et. al (2015),Black River,0.032094031,0.0004,0.0099,21.51888,1.31064,48.87487722
Li et. al (2015),"Basin Run at Liberty Grove, Md.",0.199795715,0.0059,0.01031,15.578328,0.576072,17.38427846
Li et. al (2015),Ottauquechee River,0.096626573,0.0017,0.0104,19.05,0.97536,18.7174356
Li et. al (2015),Hayden Run,0.073193825,0.0025,0.0106,4.7244,0.512064,1.812278182
Li et. al (2015),"Slade Run near Glyndon, Md.",0.300678629,0.012,0.01069,4.026408,0.44196,3.250773989
Li et. al (2015),Tar Hollow Creek,0.276839693,0.0087,0.01103,7.74192,0.57912,3.398021591
Li et. al (2015),Beech Creek,0.169424618,0.0029,0.01113,12.8016,1.072896,21.94555611
Li et. al (2015),Mad River,0.078315514,0.0021,0.01169,11.18616,0.719328,7.928717046
Li et. al (2015),Bull Creek,0.246784323,0.0059,0.01241,6.64464,0.856488,5.720003012
Li et. al (2015),"St. Mary's River at Great Mills, Md.",0.061744844,0.0014,0.01311,11.82624,0.954024,13.16450198
Li et. al (2015),"Mattawoman Creek near Pomonkey, Md.",0.063039405,0.0014,0.01321,11.2776,0.981456,15.29109716
Li et. al (2015),Big 4 Hollow Creek,0.141440845,0.0091,0.01343,6.5532,0.344424,1.529109716
Li et. al (2015),Salt Creek,0.132234273,0.0015,0.01383,30.0228,2.01168,59.18220938
Li et. al (2015),"Sawpit Run near Oldtown, Md.",0.191924439,0.012,0.01386,10.54608,0.36576,6.221211196
Li et. al (2015),Mill Creek,0.130740077,0.0067,0.0142,5.7912,0.4572,2.775050966
Li et. al (2015),Licking River,0.028669773,0.0003,0.01471,75.5904,2.319528,291.6635199
Li et. al (2015),Etna Creek,0.120626787,0.0078,0.01517,4.51104,0.387096,1.472476023
Li et. al (2015),Old Woman Creek,0.103883214,0.0019,0.01517,13.92936,1.368552,17.83961335
Li et. al (2015),"Holman Cr nr Clayton, ID",0.929595308,0.052,0.0155,2.7432,0.4572,2.752397489
Li et. al (2015),Beaver Creek,0.080821138,0.0017,0.01562,15.91056,1.225296,19.5103073
Li et. al (2015),E. Orange Bridge,0.295092994,0.0132,0.0157,8.56488,0.57912,5.281091889
Li et. al (2015),Laplatte River,0.028507295,0.001,0.0162,23.59152,0.762,20.7845654
Li et. al (2015),Sleepers River,0.023860606,0.0007,0.0168,20.90928,0.94488,37.15170273
Li et. al (2015),"Bennett Creek at Park Mills, Md.",0.098978943,0.0019,0.01695,25.35936,1.456944,52.86755259
Li et. al (2015),Sandusky Creek,0.189902681,0.0123,0.01699,4.38912,0.432816,1.868911875
Li et. al (2015),"Elk Ck Nr Drew, OR",0.140392727,0.00323,0.017,22.7076,1.2192,47.06259904
Li et. al (2015),Tioughnioga River,0.060855573,0.001,0.0171,58.166,1.71704,106.7545117
Li et. al (2015),Bokengehalas Creek,0.058418828,0.0021,0.01773,19.17192,0.813816,15.34773085
Li et. al (2015),Shade River,0.09387035,0.0012,0.0179,27.21864,2.310384,59.46537784
Li et. al (2015),"Big Elk Creek at Elk Mills, Md.",0.063467233,0.0014,0.01797,23.622,1.344168,59.437061
Li et. al (2015),Trail Run,0.16257188,0.0051,0.01866,10.5156,0.981456,16.70693949
Li et. al (2015),"Deer Creek at Rocks, Md.",0.095555615,0.0021,0.01904,30.7848,1.429512,74.02023699
Li et. al (2015),Mad River,0.072088692,0.002,0.0205,42.0624,1.2192,140.4515591
Li et. al (2015),Little Delaware River,0.116983992,0.004,0.020633333,22.95144,0.99568,48.13863921
Li et. al (2015),Basin Creek,0.270933333,0.014,0.021,9.144,0.67056,5.408517699
Li et. al (2015),"Ditch Run near Hancock, Md.",0.159262333,0.011,0.02169,9.05256,0.51816,5.179151242
Li et. al (2015),Big Knife Creek,0.323681416,0.033,0.0226,4.572,0.36576,1.444159176
Li et. al (2015),"Gassy Ck Nr Nonpareil, OR",0.082434545,0.007,0.024,7.7724,0.466344,5.776636705
Li et. al (2015),"Bruno Cr near Clayton, ID",0.255616364,0.0369,0.024,2.4384,0.27432,1.509287923
Li et. al (2015),"South Umpqua River at Tiller, OR",0.034972198,0.000417,0.025,44.196,3.45948,391.0556514
Li et. al (2015),Alberta rivers reach no. 40,0.140740741,0.0057,0.027,49.4,1.1,166
Li et. al (2015),Wye,0.063484848,0.0007,0.028,59.35,4.19,550
Li et. al (2015),Colorado River reach no. 10,0.036575758,0.00034,0.028,168.8,4.97,1543.446263
Li et. al (2015),LF Payette McCall,0.165163234,0.0087,0.0325,27.2796,1.018032,33.98021591
Li et. al (2015),Trent,0.027456382,0.0023,0.033,5.24,0.65,2.7
Li et. al (2015),Colorado River reach no. 9,0.044989305,0.00047,0.034,127.05,5.37,1428.973259
Li et. al (2015),Alberta rivers reach no. 50,0.021435407,0.00035,0.038,123,3.84,1020
Li et. al (2015),Colorado River reach no. 6,0.045947368,0.00066,0.038,137.35,4.365,1319.616727
Li et. al (2015),Irfon A,0.043263403,0.0024,0.039,26.34,1.16,66
Li et. al (2015),Wyre,0.050606061,0.002,0.04,19.48,1.67,38
Li et. al (2015),Arrow,0.089135255,0.0045,0.041,13.73,1.34,29.5
Li et. al (2015),Alberta rivers reach no. 18,0.09038961,0.0054,0.042,51.2,1.16,122
Li et. al (2015),Alberta rivers reach no. 42,0.061902748,0.0036,0.043,31.1,1.22,62.3
Li et. al (2015),Alberta rivers reach no. 87,0.0536716,0.0016,0.043,126,2.38,510
Li et. al (2015),Exe,0.044904863,0.0018,0.043,31.01,1.77,67
Li et. al (2015),Alberta rivers reach no. 92,0.030545455,0.0024,0.045,30.5,0.945,42.5
Li et. al (2015),Alberta rivers reach no. 53,0.034661509,0.0021,0.047,59.4,1.28,187
Li et. al (2015),Colorado River reach no. 5,0.047324307,0.001,0.047,128.5,3.67,1020.757116
Li et. al (2015),LF Payette 1,0.087427724,0.0068,0.05,27.29484,1.060704,33.98021591
Li et. al (2015),LF Payette 2,0.080644538,0.0068,0.05,26.615136,0.978408,33.98021591
Li et. al (2015),Alberta rivers reach no. 21,0.013333333,0.00055,0.051,38.1,2.04,113
Li et. al (2015),Teign,0.041093286,0.0014,0.051,19.03,2.47,66
Li et. al (2015),Alberta rivers reach no. 106,0.074230769,0.011,0.052,18,0.579,11.9
Li et. al (2015),Colorado River reach no. 2,0.054807692,0.0015,0.052,77.5,3.135,579.5307108
Li et. al (2015),Colorado River reach no. 4,0.043030303,0.0013,0.052,160.5,2.84,978.708702
Li et. al (2015),Alberta rivers reach no. 27,0.031425365,0.002,0.054,23.4,1.4,29.4
Li et. al (2015),SF Salmon,0.033496987,0.0019,0.0548,39.084504,1.594104,82.11885512
Li et. al (2015),Irfon C,0.025146006,0.0014,0.055,28.67,1.63,81
Li et. al (2015),Alberta rivers reach no. 94,0.033766234,0.0032,0.056,64.3,0.975,113
Li et. al (2015),Otter,0.023476874,0.0032,0.057,16.73,0.69,14.2
Li et. al (2015),Colorado River reach no. 1,0.053365231,0.0021,0.057,107,2.39,622.6693148
Li et. al (2015),Colorado River reach no. 3,0.044435737,0.00175,0.058,102,2.43,608.4273151
Li et. al (2015),Derwent,0.05004329,0.0017,0.063,34.37,3.06,140
Li et. al (2015),Glen,0.039018759,0.0052,0.063,25.12,0.78,25
Li et. al (2015),Colorado River reach no. 9,0.056424242,0.00098,0.063,103.05,5.985,2012.307732
Li et. al (2015),Potlach,0.029550636,0.0022,0.0645,47.749968,1.429512,186.8911875
Li et. al (2015),Alberta rivers reach no. 22,0.039142857,0.0033,0.07,79.9,1.37,203
Li et. al (2015),Lapwai,0.044524551,0.0074,0.07,11.59764,0.694944,16.14060256
Li et. al (2015),Colorado River reach no. 8,0.061148052,0.00149,0.07,195.5,4.74,2928.893174
Li et. al (2015),Ceiriog 1-3,0.073341869,0.0048,0.071,17.63,1.79,66
Li et. al (2015),Usk,0.02,0.0009,0.072,39.33,2.64,157
Li et. al (2015),Eachaig,0.063488943,0.0057,0.074,18.41,1.36,58
Li et. al (2015),Afon Lwyd,0.063288889,0.0044,0.075,17.36,1.78,64
Li et. al (2015),Lune,0.015668687,0.0007,0.075,55.78,2.77,260
Li et. al (2015),Tees,0.042502952,0.0015,0.077,58,3.6,370
Li et. al (2015),Alberta rivers reach no. 95,0.042293824,0.0037,0.079,76.8,1.49,278
Li et. al (2015),Alberta rivers reach no. 8,0.027378788,0.00052,0.08,280,6.95,5440
Li et. al (2015),Ceiriog 4-7,0.105543237,0.0105,0.082,19.03,1.36,66
Li et. al (2015),Alberta rivers reach no. 113,0.018876404,0.0035,0.089,43.9,0.792,53.8
Li et. al (2015),Rookhope,0.098890024,0.0137,0.089,13.7,1.06,36.5
Li et. al (2015),Challis,0.066213182,0.0186,0.096,7.65048,0.56388,5.861587245
Li et. al (2015),Blackmare,0.098496582,0.031,0.1,11.131296,0.524256,3.398021591
Li et. al (2015),N Tyne,0.043846154,0.0036,0.104,42.64,2.09,212
Li et. al (2015),Dollar,0.004669905,0.00158,0.105,8.430768,0.512064,7.079211648
Li et. al (2015),SF Clearwater Stites,0.01566067,0.0026,0.1055,59.8932,1.048512,116.099071
Li et. al (2015),Alwen 1-5,0.026712407,0.0064,0.106,14.04,0.73,10
Li et. al (2015),SF Clearwater Elk,0.032025149,0.0053,0.107,23.664672,1.0668,43.89111222
Li et. al (2015),Squaw Rev,0.027700499,0.0104,0.1075,8.644128,0.47244,6.22970625
Li et. al (2015),Lemhi,0.018534303,0.0043,0.108,21.500592,0.768096,25.48516193
Li et. al (2015),Napias,0.040963905,0.0213,0.1095,8.805672,0.347472,4.247526989
Li et. al (2015),Alwen 5-9,0.050898364,0.013,0.113,9.84,0.73,10.7
Li et. al (2015),Kent,0.075012068,0.0074,0.113,39.9,1.89,170
Li et. al (2015),Thompson,0.025685123,0.0195,0.115,5.571744,0.249936,3.398021591
Li et. al (2015),Wildhorse,0.076258562,0.0158,0.1175,12.874752,0.935736,24.918825
Li et. al (2015),Valley,0.007896715,0.0022,0.123,25.523952,0.728472,28.31684659
Li et. al (2015),Meadow,0.107786311,0.0231,0.135,22.728936,1.039368,65.12874716
Li et. al (2015),Alberta rivers reach no. 67,0.047774295,0.015,0.145,35.1,0.762,52.4
Li et. al (2015),Johnson,0.025989216,0.005,0.145,27.913584,1.243584,53.80200852
Li et. al (2015),Bear,0.012007273,0.0025,0.155,34.024824,1.228344,60.31488324
Li et. al (2015),NF Payette,0.026157382,0.0059,0.155,34.058352,1.133856,56.63369318
Li et. al (2015),MF Salmon,0.02470654,0.0055,0.1575,23.429976,1.167384,41.62576449
Li et. al (2015),Reeds,0.032775581,0.0113,0.1675,13.47216,0.801624,24.918825
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),Floyd's Fork at Fisherville,0.01529052,0.001,0.0872,12.14,2.2,92.6
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),Eagle Creek at Sadieville,0.187683284,0.0016,0.0062,26.2,1.2,33.4
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),East Hickman Creek at Delong Rd.,0.025536261,0.0025,0.0534,11.5,0.9,7.5
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),Twelvemile Creek at Hwy 1997,0.013805481,0.0025,0.1317,12.13,1.2,38.2
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),South Elkhorn Creek at Fort Springs,0.006123087,0.0028,0.194,16.5,0.7,15.4
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),Town Branch at Yarnallton Rd.,0.013447404,0.0029,0.1307,21.9,1,30.6
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),North Elkhorn Creek at Bryan Station Rd.,0.028016927,0.0032,0.0623,17.3,0.9,7.6
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),West Hickman Creek at Ash Grove Pk.,0.011424011,0.0034,0.1443,17.8,0.8,12.9
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),Gunpowder Creek at Camp Ernst Rd.,0.025014294,0.0035,0.0848,12.12,1,46.4
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),Middle Fork Beargrass Creek at Old Cannons Ln.,0.056626875,0.0037,0.0396,12.8,1,15
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),North Elkhorn Creek at Winchester Rd.,0.054309327,0.0046,0.0308,8.4,0.6,2.1
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),Wolf Run at Old Frankfort Pk.,0.023287631,0.005,0.1041,11.6,0.8,11.9
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),Cedar Creek at Hwy 1442,0.044469856,0.005,0.0477,12.6,0.7,9.7
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),Banklick Creek at Hwy 1829,0.037195055,0.0051,0.0831,12.1,1,21.2
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),Chenoweth Run at Ruckriegel Pky.,0.035690236,0.0053,0.045,13.6,0.5,4.7
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),Goose Creek at Old Westport Rd.,0.039866753,0.0053,0.0564,9.5,0.7,4.7
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),Mud Lick Creek at Hwy 42,0.061222132,0.0053,0.0787,12.11,1.5,57.8
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),Cruises Creek at Hwy 17,0.051336898,0.0056,0.0595,12.7,0.9,10.6
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),East Hickman Creek at Andover,0.092503987,0.0058,0.0152,4.1,0.4,1.1
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),Little Goose Creek near Harrods Creek,0.035719514,0.0061,0.0828,13.7,0.8,7.7
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),UT to East Hickman Creek at Chilesburg,0.33201581,0.0063,0.0046,4.2,0.4,1.3
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),Woolper Creek at Woolper Rd.,0.085114885,0.0071,0.0455,12.9,0.9,15.3
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),North Elkhorn Creek at Man O War Rd.,0.073492399,0.0073,0.0301,5.9,0.5,1.7
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),Cave Creek near Fort Springs,0.046595828,0.0074,0.0385,5.3,0.4,1.8
